"nid","title","field_tipo_da_impress_o","field_ano","field_numero","field_preced_ncia","field__rea","field_respons_vel","field_tiragem","field_originais","field_formato","field_entrada","field_material_1","field_pre_o_1","field_material_2","field_pre_o_2","field_material_3","field_pre_o_3","field_material_4","field_pre_o_4","field_material_5","field_pre_o_5","field_material_6","field_pre_o_6","field_material_7","field_pre_o_7","field_observa_o","field_fonte"
"13261","Agenda 2020","Off-Set","2020","1","Juliana Maria Costa ","Administrativa","Juliana Maria Costa","500","146","A5","01/27/2020","38325 impressões coloridas na maquina de xerox (R$0,059) cada impressão","R$ 2261.17","2395 folhas de papel 120 grs 66x96 (R$0,53) cada folha ","R$1269.35","75 folhas de papel couché 175grs 66x96","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>Responsável : Juliana Maria Costa<br />
cada impressão colorida custa R$0,059 , o valor de 30% de materias não sera cobrado , o valor total a ser cobrado e de R$3530,52</p>
","Diretoria "
"13247","Agenda 2020","Off-Set","2019","19","Juliana Maria Costa","Administrativa","Juliana Maria Costa","200","146","A5","12/03/2019","15330 impressões coloridas na maquina de Xerox ( R$0,059) cada impressão","R$ 904.47","958 folhas de papel 120 grs 66x96 (R$0,53 ) cada folha ","R$507.74","30 folhas de papel couché 175 grs 66x96, impressão da capa","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>Responsável:Juliana Maria Costa<br />
obs: cada impressão colorida custa R$0,059<br />
o valor de R$423,66 referente a matérias utilizados não sera cobrado , o valor final e de<br />
R$1.412,21</p>
","Diretoria "
"13235","Seminário Internacional ¨A Economia Política do Turismo¨","Off-Set","2019","18","Departamento de Geografia","Acadêmica ","Prof.Dra. Rita de Cássia Ariza da Cruz","100","324","14,8 X 21,0","10/18/2019","1520 Folhas de Papel Sulfute 75grs 66x96","R$ 212.80","50 Chapas positivas de Alumínio Heidelberg","R$567.50","38 folhas de Cartõa Supremo 275 grs 66x96","R$27.36","120 impressão das capas (xerox)","R$42.00","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>Responsável : Prof. Dra Rita de Cássia Ariza da Cruz</p>
","Departamento de Geografia"
"13210","LÉXICO , SEMÂTICA , LEXICAL , NEOLOGIA , EMPRÉSTIMO","Off-Set","2019","17","Humanitas ","Administrativa","Helena Rodrigues ","300","350","14x21","09/10/2019","4100 Folhas de Papel Sulfute 75grs 66x96","R$ 574.00","54 Chapas positivas de Alumínio","R$612.90","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>Responsável : Helena Rodrigues<br />
Capa vem pronta</p>
","Integral para a Administração ( Acordo Diretoria ) "
"13209","AUGUSTAN POETRY","Off-Set","2019","16","Humanitas ","Administrativa","Helena Rodrigues ","500","452","14x21","09/10/2019","8830 Folhas de Papel Sulfute 75grs 66x96","R$ 1236.20","136 Chapas positivas de Alumínio Catu","R$533.12","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>Responsável :Helena Rodrigues<br />
Capa vem pronta</p>
","Integral para a Administração ( Acordo Diretoria )"
"13208","NIETZSCHE E A PSICOFISIOLOGIA FRANCESA","Off-Set","2019","15","Humanitas ","Administrativa ","Helena Rodrigues ","200","230","14x21","09/10/2019","2150 Folhas de Papel Sulfute 75grs 66x96","R$ 301.00","36 Chapas positivas de Alumínio Heidelberg","R$408.60","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>Responsável : Helena Rodrigues<br />
capa vem pronta</p>
","Integral para a Administração (Acordo Diretoria)"
"13188","Discurso sem Método 2019 nº 01","Off-Set","2019","14","Centro Acadêmico da Filosofia - CAF","Acadêmica","Danilo Augusto","200","52","A4","06/27/2019","975 Folhas de Papel Jornal 52g/m² - 66 x 96cm - R$ 0,10","R$ 97.50","33 Chapas positivas de alumínio para a impressora Off-Set Catu 510 - R$ 3,92","R$129.36","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>Acabamento: 02 grampos.</p>
","Diretoria - FFLCH"
"13158","Jornal Discurso sem Método - 2018 (Reimpressão)","Off-Set","2019","13","CAF- Centro Acadêmico de Filosofia","Acadêmica","Danilo Augusto de O. Costa","200","70","A4","03/25/2019","1313 Folhas de Papel Jornal 52g/m² (66 x 96cm) - R$ 0,10","R$ 131.30","22 Chapas Positivas de Alumínio - Impressora Off- Set Heidelberg - R$ 11,35","R$249.70","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>Acabamento: Grampeado (02 grampos)</p>
","Diretoria da FFLCH"
"13157","Cadernos de Professor Emérito: (RAQUEL GLAZER)","Off-Set","2019","12","Serviços de Editoração e Distribuição da FFLCH","Acadêmica","Srta. Helena Rodrigues","200","48","12 x 18cm","03/25/2019","450 Folhas de Papel Gráfico 75grs. (66x96cm) - R$ 0,14","R$ 63.00","15 Chapas Positivas de Alumínio - Impressora Off- Set Catu 510 - R$ 3,92","R$58.80","75 Folhas de Papel Gráfico Supremo 275gr/m² - (66x96cm) / Capa - R$ 0,91","R$68.25","Fotolitos","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","","Diretoria da FFLCH"
"13156","Cadernos de Professor Emérito: REGINALDO PRANDI","Off-Set","2019","11","Serviços de Editoração e Distribuição da FFLCH","Acadêmica","Srta. Helena Rodrigues","200","52","12 x 18cm","03/25/2019","488 Folhas de Papel Gráfico 75grs. (66x96cm) - R$ 0,14","R$ 68.32","15 Chapas Positivas de Alumínio - Impressora Off- Set Catu 510 - R$ 3,92","R$58.80","75 Folhas de Papel Gráfico Supremo 275gr/m² - (66x96cm) / Capa - R$ 0,91","R$68.25","Fotolitos","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","","Diretoria da FFLCH"
"13152","Jornal Discurso sem Método nº 2 (Especial de Greve - Versão Censurada)","Off-Set","2019","10","CAF- Centro Acadêmico de Filosofia","Acadêmica","Danilo Augusto de O. Costa","200","31","A4","03/21/2019","582 Folhas de Papel Jornal 52g/m² (66 x 96cm) - R$ 0,10","R$ 58.20","12 Chapas Positivas de Alumínio - Impressora Off- Set Heidelberg - R$ 11,35","R$136.20","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","","Diretoria da FFLCH"
"13149","Boletim da Associação Atlética Oswald de Andrade - 2019","Off-Set","2019","9","Associação Atlética Oswald de Andrade - AAAOA","Acadêmica","Bruna Guedes","400","40","Livreto A5 (21 x 15cm)","02/26/2019","625 Folhas de Papel Off-Set (75grs - 66 x 96cm) - Valor unitário R$ 0,14","R$ 87.50","13 Chapas Positivas de Alumínio - Valor unitário R$ 3,92","R$50.96","150 Folhas do Cartão para Impressão da Capa (Color Plus 180 gr - 66 x 96cm - Cartagena) - Valor unitário R$ 1,67","R$250.50","Fotolitos","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","","Diretoria da FFLCH"
"13145","Escritos e Ditos: Poéticas e Arquétipos da Literatura de Folhetos Itália/Brasil","Off-Set","2019","8","Serviços de Editoração e Distribuição da FFLCH","Acadêmica","Srta. Helena Rodrigues","200","308","14 x 21 cm (A5)","02/15/2019","2888 Folhas de Papel Gráfico 75 g/m² - 66 x 96cm - R$ 0,14","R$ 404.32","99 Chapas Positivas de Alumínio para a impressora Catu 510 (impressão do miolo) - R$ 3,92","R$388.08","75 Folhas de Papel Gráfico 240 g/m² - 66 x 96cm (para capa) - R$ 0,53","R$39.75","04 Fotolitos","R$90.00","Impressão das capas (04 cores)- R$ 70,00 por cor (menos o preto)","R$210.00","Laminação fosca (valor aproximado para 290 capas)","R$150.00","06 Chapas de Alumínio para a impressora Heidelberg (impressão de capa) - R$ 11,35","R$68.10","",""
"13144","Mangá - Comissão de Acessibilidade 2019","Off-Set","2019","7","Assistência Acadêmica / Comissão de Acessibilidade","Acadêmica","Professora Shirlei Lica Ichisato Hashimoto","1600","6","A5","02/07/2019","375 Folhas de Papel Gráfico 75grs (66 x 96cm) - R$ 0,14","R$ 52.50","03 Chapas Positivas de Alumínio para Catu 510 - R$ 3,92","R$11.76","600 Folhas de Papel Supremo 250 gr/m² (66 x 96cm) - R$ 0,91","R$546.00","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","","Assistência Acadêmica"
"13136","Between ""Angels and Demons"": Trauma in Fictional Representations of Roger Casement","Off-Set","2019","6","Serviços de Editoração e Distribuição da FFLCH","Acadêmica","Srta. Helena Rodrigues","200","316","14 x 21cm (A5)","01/31/2019","2963 Folhas de Papel Gráfico 75 g/m² - 66 x 96cm - R$ 0,14","R$ 414.82","99 Chapas Positivas de Alumínio para a impressora Catu 510 (impressão do miolo) - R$ 3,92","R$388.08","75 Folhas de Papel Gráfico 240 g/m² - 66 x 96cm (para capa) - R$ 0,53","R$39.75","04 Fotolitos","R$90.00","Impressão das capas (04 cores)- R$ 70,00 por cor (menos o preto)","R$210.00","Laminação fosca (valor aproximado para 290 capas)","R$150.00","06 Chapas de Alumínio para a impressora Heidelberg (impressão de capa) - R$ 11,35","R$68.10","","Integral para Administração"
"13132","Manual dos Ingressantes - CAF 2019","Off-Set","2019","5","Centro Acadêmico da Filosofia - CAF","Acadêmica","Danilo Augusto","180","38","A4","01/22/2019","642 Folhas de Papel Jornal 52grs (66 x 96cm) - R$ 0,10","R$ 64.20","24 Chapas Positivas de Alumínio (impressora CATU 510) - R$ 3,92","R$94.08","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","","Diretoria da FFLCH"
"13128","Tradição e Transformação","Off-Set","2019","4","Departamento de Letras Clássicas e Vernáculas - DLCV","Acadêmica","Professor Ricardo da Cunha Lima / Srta. Helena Rodrigues","500","280","A5","01/14/2019","5469 Folhas de Papel Gráfico 75 g/m² - 66 x 96cm - R$ 0,14","R$ 765.66","80 Chapas positivas de alumínio para a impressora off-set Catu 510 - R$ 3,92","R$313.60","Fotolitos","R$90.00","188 Folhas de Papel Supremo 250 g/m² - 66 x 96cm - R$ 0,91","R$171.08","Impressão das capas (cores) - R$ 70,00 por cor","R$210.00","06 Chapas positivas para a confecção da capa - Impressora Heidelberg - R$ 11,35","R$68.10","Laminação fosca das capas","R$150.00","","Departamento de Letras Clássicas e Vernáculas - DLCV"
"13127","Diáspora","Off-Set","2019","3","Departamento de Letras Modernas - Área de Espanhol","Acadêmica","Profª Idalia Morejón","100","68","15 x 21cm","01/14/2019","319 Folhas de Papel Sulfite 75grs 66 x 96cm","R$ 44.66","11 Chapas Positivas de Alumínio","R$43.12","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","","Departamento de Letras Modernas - Área de Espanhol"
"13126","A Escrita Riscada","Off-Set","2019","2","Departamento de Letras Modernas - Área de Espanhol","Acadêmica","Profª Idalia Morejón","100","48","15 x 21cm","01/14/2019","225 Folhas de Papel Sulfite 75grs (66 x 96cm)","R$ 31.50","15 Chapas Positivas de Alumínio","R$58.80","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","","Departamento de Letras Modernas - Área de Espanhol"
"13125","Caribe Oriental","Off-Set","2019","1","Departamento de Letras Modernas - Área de Espanhol","Acadêmica","Profª Idalia Morejón","100","88","15 x 21","01/14/2019","413 Folhas de Papel Sulfite 75grs (66x96cm) 75grs","R$ 57.82","27 Chapas Positivas de Alumínio","R$105.84","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","","Departamento de Letras Modernas - Área de Espanhol"
"13117","Agenda 2019","Off-Set","2018","17","Diretoria","Administração","Helena Rodrigues","1000","144","14,8 x 21","11/23/2018","5400 Folhas de Papel Sulfute 75grs 66x96","R$ 756.00","23 Chapas positivas de Alumínio Heidelberg","R$261.01","300 folhas de Cartão Supremo 250grs 66 x 96","R$273.00","1 fotolito para capa","R$40.00","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","","Administração"
"13113","Arnaldo de Vilanova (c.1240-1311) Doutrina Reformista e Concepção Escatológica","Off-Set","2018","16","Serviços de Editoração e Distribuição da FFLCH","Acadêmica","Srta. Helena Rodrigues","200","294","A5 (16 x 23cm)","11/08/2018","2757 Folhas de Papel Gráfico 75 g/m² - 66 x 96cm - R$ 0,40","R$ 385.98","92 Chapas Positivas de Alumínio para a impressora Catu 510 (impressão do miolo) - R$ 3,92","R$360.64","04 Fotolitos","R$90.00","75 Folhas de Papel Gráfico 240 g/m² - 66 x 96cm - R$ 0,53","R$39.75","Impressão das capas (04 cores)- R$ 70,00 por cor (menos o preto)","R$210.00","Laminação fosca (valor aproximado para 290 capas)","R$150.00","06 Chapas de Alumínio para a impressora Heidelberg (impressão de capa) - R$ 11,35","R$68.10","","Integral para Administração"
"13097","Jornal Discurso sem Método (Especial de Greve)","Off-Set","2018","15","CAF- Centro Acadêmico de Filosofia","Acadêmica","Danilo Augusto de O. Costa","200","28","A4","10/03/2018","525 Folhas de Papel Jornal 52g/m² (66 x 96cm) - R$ 0,10","R$ 52.50","10 Chapas Positivas de Alumínio - Impressora Off- Set Heidelberg - R$ 11,35","R$113.50","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>Acabamento: Grampeado (02 grampos)</p>
","Diretoria da FFLCH"
"13091","Jornal Discurso sem Método - 2018","Off-Set","2018","14","CAF- Centro Acadêmico de Filosofia","Acadêmica","Danilo Augusto de O. Costa","200","70","A4","10/02/2018","1313 Folhas de Papel Jornal 52g/m² (66 x 96cm) - R$ 0,10","R$ 131.30","22 Chapas Positivas de Alumínio - Impressora Off- Set Heidelberg - R$ 11,35","R$249.70","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>Acabamento: Grampeado (02 grampos)</p>
","Diretoria da FFLCH"
"13088","Infinitamente Rosa","Off-Set","2018","13","Departamento de Letras Clássicas e Vernáculas - DLCV Literatura Brasileira e Teoria Literária e Literatura Comparada","Acadêmica","Sra. Cleusa Rios Pinheiro Passos / Serviços de Editoração e Distribuição FFLCH","500","360","A5","09/21/2018","7032 Folhas de Papel Pólen Soft 80grs - 66 x 96cm - R$ 0,40 por folha","R$ 2812.80","113 Chapas positivas de alumínio para a off-set Catu 510 - R$ 3,92 por chapa","R$442.96","04 Fotolitos","R$70.00","188 Folhas de Papel Gráfico (branco) 240gr - 66x96cm para impressão da capa - R$ 0,53 por folha","R$99.64","Impressão à cores das capas - R$ 70,00 por cor (menos a cor preta)","R$210.00","Laminação Fosca","R$150.00","04 Chapas positivas de alumínio para a off-set Heidelberg para a impressão à cores das capas - R$ 11,35 por chapa","R$45.40","<p>Por questões orçamentárias e administrativas, o papel Pólen Soft não foi mais adquirido pelo Setor de Compras desta unidade, portanto utilizaremos o papel gráfico de 75g/m² em substituição ao papel ora orçado.<br />
MONTAGEM E IMPRESSÃO DO LASER FILM NO SERVIÇO DE EDITORAÇÃO E DISTRIBUIÇÃO DA FFLCH: Tanto a frente como o verso não estão alinhados, comprometendo a qualidade do acabamento.</p>
","Departamento de Letras Clássicas e Vernáculas - DLCV Literatura Brasileira e Teoria Literária e Literatura Comparada"
"13082","A Vida de Esopo ","Off-Set","2018","12","Departamento de Letras Clássicas e Vernáculas - DLCV (Língua e Literatura Grega)","Acadêmica","Srta. Helena Rodrigues (Serv. de Editoração e Distribuição) / Profa. Dra. Adriane da Silva Duarte","500","240","A5","09/11/2018","4688 Folhas de Papel Pólen Soft® 80grs - 66 x 96cm - R$ 0,40","R$ 1875.20","75 Chapas positivas de alumínio para a impressora Catu 510 - R$ 3,92","R$294.00","04 Fotolitos","R$60.00","188 Folhas de papel cartão 240grs branco (fibra longit) - 66 x 96cm para impressão da capa - R$ 0,40","R$75.20","Impressão das capas (cores) - 3 cores (R$ 70,00)","R$210.00","Laminação fosca","R$160.00","06 Chapas para a impressora Heidelberg - Impressão da Capa - R$ 11,35","R$68.10","<p>1º Por questões orçamentárias, não foi autorizada a compra de papel Pólen Soft, razão pela qual realizaremos o serviço em papel gráfico 75 g/m².<br />
2º Por questões técnicas (impressoras de baixa qualidade e inadequadas), o laser filme não está de acordo, portanto as páginas não estarão corretamente sobrepostas.</p>
","Departamento de Letras Clássicas e Vernáculas - DLCV (Língua e Literatura Grega)"
"13064","Feira das Profissões 2018","Off-Set","2018","11","Diretoria da FFLCH","Acadêmica","Srta. Juliana Maria Costa","5000","28","18,7 x 22,5cm","07/19/2018","5469 Folhas de Papel Gráfico (90 g/m²) 66 x 96cm (para Miolo) - R$ 0,21","R$ 1148.49","22 Chapas positivas de alumínio para a impressora off-set Heidelberg - R$ 11,35 por chapa","R$249.70","19 Fotolitos - (Capa + Miolo) Média de R$ 18,42 por fotolito","R$350.00","1875 Folhas de Papel Gráfico 275g/m² (Art Premium Tech - para Capa) - R$ 0,72","R$1350.00","Impressão em cores / 05 cores - R$ 70,00 por cor (menos preto)","R$350.00","Laminação fosca","","Plastificação brilhante","","<p>Acabamento: 02 grampos.</p>
","Diretoria da FFLCH"
"13051","Livreto Cerimonial da Professora Emérita Diana Luz Pessoa de Barros","Off-Set","2018","10","Assistência Acadêmica","Acadêmica","Srta. Rosângela Duarte Vicente","200","44","12 x 18cm","05/23/2018","413 Folhas de Papel Gráfico 90g/m² (66 x 96cm) - R$ 0,21","R$ 86.73","15 Chapas Positivas de Alumínio (Catu 510) - R$ 3,92","R$58.80","75 Folhas de Papel Gráfico (fibra longit) 180 grs - (66x96cm) para capa - R$ 0,40","R$30.00","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","","Assistência Acadêmica"
"13050","Livreto Cerimonial da Professora Emérita Marilena Chauí","Off-Set","2018","9","Assistência Acadêmica","Acadêmica","Srta. Rosângela Duarte Vicente","200","48","12 x 18cm","05/23/2018","450 Folhas de Papel Gráfico 90g/m² (66 x 96cm) - R$ 0,21","R$ 94.50","15 Chapas Positivas de Alumínio (Catu 510) - R$ 3,92","R$58.80","75 Folhas de Papel Gráfico (fibra longit) 180 grs - (66x96cm) para capa - R$ 0,40","R$30.00","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","","Assistência Acadêmica"
"13030","Discurso sem Método - 2ª Edição 2018","Off-Set","2018","8","CAF- Centro Acadêmico de Filosofia","Acadêmica","Danilo Augusto de O. Costa","350","60","A4","04/05/2018","1641 Folhas de Papel Gráfico - Branco - 75grs. (66 x 96cm) - R$ 0,14","R$ 229.74","20 Chapas Positivas de Alumínio - Impressora Off- Set Heidelberg - R$ 11,35","R$227.00","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>Acabamento: Grampeado (02 grampos)</p>
","Diretoria da FFLCH"
"13028","Cadernos de Professor Emérito: FRANCISCO CORREA WEFFORT","Off-Set","2018","7","Diretoria da FFLCH","Acadêmica","Srta. Helena Rodrigues","300","46","12 x 18cm","03/28/2018","540 Folhas de Papel Gráfico 90grs. (66x96cm) - R$ 0,21","R$ 113.40","15 Chapas Positivas de Alumínio - Impressora Off- Set Catu 510 - R$ 3,92","R$58.80","113 Folhas de Papel Gráfico (fibra longit) 180 grs - (66x96cm) / Capa - R$ 0,40","R$45.20","Fotolitos","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","","Diretoria da FFLCH"
"13024","Cadernos de Professor Emérito: MARIA DE LOURDES MÔNACO JANOTTI","Off-Set","2018","6","Diretoria da FFLCH","Acadêmica","Srta. Helena Rodrigues","300","70","12 x 18cm","03/28/2018","821 Folhas de Papel Gráfico 90grs. (66x96cm) - R$ 0,21","R$ 172.41","25 Chapas Positivas de Alumínio - Impressora Off- Set Catu 510 - R$ 3,92","R$98.00","113 Folhas de Papel Gráfico (fibra longit) 180 grs - (66x96cm) / Capa - R$ 0,40","R$45.20","Fotolitos","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","","Diretoria da FFLCH"
"13023","Cadernos de Professor Emérito: MARIA ODILA LEITE DA SILVA DIAS","Off-Set","2018","5","Diretoria da FFLCH","Acadêmica","Srta. Helena Rodrigues","300","38","12 x 18cm","03/28/2018","446 Folhas de Papel Gráfico 90grs. (66x96cm) - R$ 0,21","R$ 93.66","12 Chapas Positivas de Alumínio - Impressora Off- Set Catu 510 - R$ 3,92","R$47.04","113 Folhas de Papel Gráfico (fibra longit) 180 grs - (66x96cm) / Capa - R$ 0,40","R$45.20","Fotolitos","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","","Diretoria da FFLCH"
"13020","Caderno de Resumos do Simpósio América Latina entre 60 e 70: Novos Olhares","Off-Set","2018","4","Departamento de Teoria Literária e Literatura Comparada - DTLLC/FFLCH","Acadêmica","Srta. Helena Rodrigues","100","32","A5","03/27/2018","150 Folhas de Papel Gráfico 75grs (66 x 96cm) - R$ 0,14","R$ 21.00","12 Chapas Positivas de Alumínio para a Impressora Catu 510 - R$ 3,92","R$47.04","Fotolitos","","38 Folhas de Papel Gráfico 180grs - Fibra Longit (66 x 96cm) - R$ 0,40","R$15.20","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","","Departamento de Teoria Literária e Literatura Comparada - DTLLC/FFLCH"
"13008","Mangá - Comissão de Acessibilidade (380 exemplares)","Off-Set","2018","3","Assistência Acadêmica / Comissão de Acessibilidade","Acadêmica","Professora Shirlei Lica Ichisato Hashimoto","300","6","A5","02/28/2018","71 Folhas de Papel Gráfico 75grs (66 x 96cm) - R$ 0,14","R$ 9.94","03 Chapas Positivas de Alumínio - R$ 3,92","R$11.76","02 Chapas Positivas de Alumínio Heidelberg R$ 11,35 (impressão das capas)","R$22.70","135 Folhas de Papel Vergê 120grs - Coral (66 x 96cm) - R$ 0,27 para impressão das capas","R$36.45","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","","Assistência Acadêmica"
"13001","Manual do Calouro - CAF 2018","Off-Set","2018","2","Centro Acadêmico da Filosofia - CAF","Acadêmica","Srta. Laila (CAF - uspcaf@gmail.com)","180","38","A4","02/23/2018","642 Folhas de Papel Jornal 52grs (66 x 96cm) - R$ 0,10","R$ 64.20","24 Chapas Positivas de Alumínio (impressora CATU 510) - R$ 3,92","R$94.08","Fotolitos","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>Os manuais deverão ser grampeados (02 grampos).</p>
","Diretoria da FFLCH"
"12994","Boletim da Associação Atlética Oswald de Andrade 2018","Off-Set","2018","1","Associação Atlética Oswald de Andrade - AAAOA","Acadêmica","Luís Tenório","1200","37","Livreto A5 (21 x 15cm)","02/08/2018","1735 Folhas de Papel Off-Set (75grs - 66 x 96cm) - Valor unitário R$ 0,14","R$ 242.90","12 Chapas Positivas de Alumínio - Valor unitário R$ 3,92","R$47.04","450 Folhas do Cartão para Impressão da Capa (Color Plus 180 gr - 66 x 96cm - Cartagena) - Valor unitário R$ 1,67","R$751.50","Fotolitos","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","","Diretoria da FFLCH"
"12972","Discurso sem Metodo","Off-Set","2017","14","CAF- Centro Acadêmico de Filosofia","Acadêmica","Danilo Augusto de O Costa","350","54","A4","12/07/2017","1500 Folhas de Papel journal 52grs 66x96","R$ 150.00","20 Chapas positivas de Alumínio Heidelberg","R$227.00","","","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>Acabamento 2 grampos</p>
","DIRETORIA"
"12961","Vozes Clássicas, Ecos Renascentistas (Tiragem: 500)","Off-Set","2017","12","Departamento de Letras Clássicas e Vernáculas - DLCV","74 Chapas positivas de alumínio para a impressora Catu 510 - R$ 3,92","Prof. Dr. Ricardo da Cunha Lima / Maria Helena Gonçalves Rodrigues (Serv. de Editoração e Distribuição)","500","26","A5","11/13/2017","5391 Folhas de Papel Pólen Soft® 80grs - 66 x 96cm - R$ 0,40","R$ 2156.40","74 Chapas positivas de alumínio para a impressora Catu 510 - R$ 3,92","R$290.08","04 Fotolitos","R$60.00","188 Folhas de papel cartão 240grs branco (fibra longit) - 66 x 96cm para impressão da capa - R$ 0,40","R$75.20","Impressão das capas (cores) - 3 cores (R$ 70,00)","R$210.00","Laminação fosca","R$150.00","06 Chapas para a impressora Heidelberg - Impressão da Capa - R$ 11,35","R$68.10","","Departamento de Letras Clássicas e Vernáculas - DLCV (Apoio a Publicações - Programa de Letras Clássicas)"
"12960","O Ensino de Alemão em Contexto Universitário","Off-Set","2017","11","Departamento de Letras Modernas DLM - Área de Alemão","Acadêmica","Professora Dörthe Uphoff","100","240","A5","11/07/2017","1125 Folhas de Papel Pólen Soft - 80gr (66 x 96cm)","R$ 450.00","75 Chapas positivas de Alumínio","R$294.00","04 Fotolitos","R$70.00","38 Folhas de Papel Gráfico (Fibra Loygt) - 240gr (66 x 96cm)","R$20.14","Impressão das capas (três cores)","R$210.00","Laminação fosca","R$100.00","Plastificação brilhante","","","Departamento de Letras Modernas DLM - Área de Alemão"
"12921","Programa e Cadernos de Resumo da V Jornada da Literatura Traduzida","Off-Set","2017","10","Departamento de Letras Modernas - DLM","Acadêmica","Professora Dra. Lucia Wataghin","100","50","A5","09/15/2017","235 Folhas de Papel Gráfico - Branco 75grs - (66 x 96cm) - R$ 0,14 por folha","R$ 32.90","15 Chapas positivas de alumínio para Catu 510 - R$ 3,92","R$58.80","Fotolitos","R$60.00","38 Folhas de Cartolina (Branca) - 180 grs - (66 x 96 cm) para a capa - R$ 0,37 por folha","R$14.06","Impressão das capas (cores) - 01 cor Azul - R$ 70,00 por cor","R$70.00","02 Chapas positivas de alumínio para Heidelberg (impressão das capas) - R$ 11,35","R$22.70","Plastificação brilhante","","<p>Os cadernos deverão ser grampeados (dois grampos).<br />
Os 30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","Departamento de Letras Modernas - DLM"
"12909","Cadernos para a Aula Magna do Professor José de Souza Martins","Off-Set","2017","9","Diretoria da FFLCH","Acadêmica","Srta. Juliana Costa","500","64","A4","08/30/2017","2500 Folhas de Papel Pólen Soft 80grs - 66 x 96cm","R$ 1000.00","56 Folhas de Papel Supremo branco 250grs (66 x 96cm)","R$50.96","20 Chapas positivas de alumínio para a impressora off-set Heidelberg","R$227.00","Cartão para impressão da capa","","Impressão das capas (cores)","","Laminação fosca","","Plastificação brilhante","","<p>Observação: As capas serão impressas na impressora Canon (colorida) instalada nas dependências do prédio da Administração do complexo da FFLCH.<br />
Os 30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão, blanqueta, restauradoras etc.</p>
","Diretoria da FFLCH"
"12892","Plurilinguismo em Contexto Universitário (Caderno do Centro de Línguas nº Especial)","Off-Set","2017","8","Humanitas","Acadêmica","Maria Helena G. Rodrigues","200","221","A5 (16 x 22cm)","08/04/2017","2072 Folhas de Papel Sulfite 75grs (66 x 96cm)","R$ 290.08","70 Chapas positivas de Alumínio para a impressora off-set Catu 510","R$274.40","04 Fotolitos (Capa)","R$60.00","75 folhas de Cartão Supremo 250grs (66 x 96cm) para impressão da capa","R$68.25","Impressão das capas 4 (cores) - R$ 70,00 por cor","R$280.00","Laminação fosca","R$80.00","Plastificação brilhante","","<p>Os 30% sobre o total de materiais representa gastos com tinta, solventes, toner, cola, algodão,blanqueta, restauradoras etc.</p>
","Renda Industrial (Centro de Línguas)"
